time,t1,t2,t3,alarm
2026-01-08 17:24:28.304211,25.25,0,0,False
2026-01-08 17:24:28.447184,25.125,0,0,False
2026-01-08 17:24:30.078735,25.125,0,0,False
2026-01-08 17:24:32.148951,25.0625,0,0,False
2026-01-08 17:24:47.741564,25.0625,0,0,False
2026-01-08 17:24:48.078771,24.8125,0,0,False
2026-01-08 17:24:50.080090,24.8125,0,0,False
2026-01-08 17:24:52.080430,24.75,0,0,False
2026-01-08 17:24:54.080937,24.75,0,0,False
2026-01-08 17:24:56.082929,24.75,0,0,False
2026-01-08 17:24:58.082793,24.75,0,0,False
2026-01-08 17:25:00.084458,24.6875,0,0,False
2026-01-08 17:25:02.091539,24.75,0,0,False
2026-01-08 17:25:04.092164,24.75,0,0,False
2026-01-08 17:25:06.087897,24.75,0,0,False
2026-01-08 17:25:08.089218,24.75,0,0,False
2026-01-08 17:25:10.092730,24.75,0,0,False
2026-01-08 17:25:12.090811,24.75,0,0,False
2026-01-08 17:25:14.091627,24.75,0,0,False
2026-01-08 17:25:16.092724,24.6875,0,0,False
2026-01-08 17:25:18.093189,24.6875,0,0,False
2026-01-08 17:25:20.094044,24.6875,0,0,False
2026-01-08 17:25:22.097898,24.6875,0,0,False
2026-01-08 17:25:24.097074,24.6875,0,0,False
2026-01-08 17:25:26.099399,24.625,0,0,False
2026-01-08 17:25:28.099769,24.625,0,0,False
2026-01-08 17:25:30.100693,24.625,0,0,False
2026-01-08 17:25:32.111926,24.625,0,0,False
2026-01-08 17:25:34.102675,24.5625,0,0,False
2026-01-08 17:25:36.104345,24.5625,0,0,False
2026-01-08 17:25:38.105141,24.5625,0,0,False
2026-01-08 17:25:40.105653,24.5625,0,0,False
2026-01-08 17:25:42.109345,24.5625,0,0,False
2026-01-08 17:25:44.108745,24.5625,0,0,False
2026-01-08 17:25:46.107688,24.5,0,0,False
2026-01-08 17:25:48.110864,24.5625,0,0,False
2026-01-08 17:25:50.115291,24.5625,0,0,False
2026-01-08 17:25:52.117596,24.5,0,0,False
2026-01-08 17:25:54.647530,24.5,0,0,False
2026-01-08 17:25:56.117423,24.5,0,0,False
2026-01-08 17:25:58.115942,24.5,0,0,False
2026-01-08 17:26:00.116686,24.5,0,0,False
2026-01-08 17:26:02.117158,24.5,0,0,False
2026-01-08 17:26:04.117162,24.5,0,0,False
2026-01-08 17:26:06.118766,24.5,0,0,False
2026-01-08 17:26:08.119699,24.4375,0,0,False
2026-01-08 17:26:10.128899,24.5,0,0,False
2026-01-08 17:26:12.123341,24.4375,0,0,False
2026-01-08 17:26:14.122809,24.4375,0,0,False
2026-01-08 17:26:16.124187,24.4375,0,0,False
2026-01-08 17:26:18.125192,24.4375,0,0,False
2026-01-08 17:26:20.126356,24.4375,0,0,False
2026-01-08 17:26:22.127783,24.4375,0,0,False
2026-01-08 17:26:24.134971,24.4375,0,0,False
2026-01-08 17:26:26.129536,24.4375,0,0,False
2026-01-08 17:26:28.130787,24.4375,0,0,False
2026-01-08 17:26:30.131612,24.4375,0,0,False
2026-01-08 17:26:32.131975,24.4375,0,0,False
2026-01-08 17:26:34.132072,24.4375,0,0,False
2026-01-08 17:26:36.136022,24.4375,0,0,False
